RWT_No,Model,Item_Desc,UPC,Courts_Code,US_Unit_Price,EST_Landed_TTD,EST_Price_w_Mrgn25,QTY,Brand
298798,75V6C-AUHD,4K FLAT LED ANDROID 75IN GOOGLE TV B,468923500012,11001A ,388.42 ,3884.2,5899,10,TCL
298798,V85P8K-AUHD,4K FLAT QLED ANDROID 85IN GOOGLE TV,468924400014,111014 ,670.53 ,6705.3,10099,7,TCL
298798,98C6K-AUHD,4K FLAT MINI LED ANDROID 98IN GOOGLE,468924700015,111016 ,1091.58 ,10915.8,16399,5,TCL
298798,98P8K-AUHD,4K FLAT QLED SMART 98P GOOGLE TV BLA,469187500015,11101E ,881.05 ,8810.5,13299,20,TCL
298798,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,145,TCL
298799,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,106,TCL
298799,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,23,TCL
298799,75V6C-AUHD,4K FLAT LED ANDROID 75IN GOOGLE TV B,468923500012,11001A ,388.42 ,3884.2,5899,156,TCL
298800,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,112,TCL
298800,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,74,TCL
298800,S55HSOUND,BAR 2 1CH,468925600017,20712C ,65.26 ,652.6,999,210,TCL
298800,Q65KSOUND,BAR 5 1CH,468925700014,20712D ,136.84 ,1368.4,2099,32,TCL
298800,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,340,TCL
298801,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,33,TCL
298801,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,468,TCL
298801,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,1,TCL
298802,V55V6C-AUHD,4K FLAT LED ANDROID 55P GOOGLE TV B,468922100015,1081FC ,205.26 ,2052.6,3099,411,TCL
298802,65P7K65P,QLED UHD 4K SMART TV,469612300012,10921A ,347.37 ,3473.7,5299,3,TCL
298802,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,84,TCL
298803,32S5K-A2K,FLAT QLED ANDROID 32IN GOOGLE TV BLAC,468921900012,10612F ,97.89 ,978.9,1499,289,TCL
298803,43S5K-A2K,FLAT QLED ANDROID 43IN GOOGLE TV BLAC,468926400012,107112 ,143.16 ,1431.6,2199,353,TCL
298803,50S5KA,UHD 4K FLAT QLED SMART 50P GOOGLE TV BLACK,469706500014, ,157.89 ,1578.9,2399,265,TCL
